www.gocharting.com,,,,,,
,,,,,,
date,open,high,low,close,volume,open_interest
Mon Jul 17 2023 09:15:00 GMT+0530 (India Standard Time),635.7,635.7,425,425,76,45
Mon Jul 17 2023 09:30:00 GMT+0530 (India Standard Time),410,410,410,410,15,60
Mon Jul 17 2023 10:45:00 GMT+0530 (India Standard Time),410,410,410,410,15,60
Mon Jul 17 2023 14:45:00 GMT+0530 (India Standard Time),598.1,598.1,598.1,598.1,15,75
Mon Jul 17 2023 15:00:00 GMT+0530 (India Standard Time),610,610,610,610,30,90
Mon Jul 17 2023 15:15:00 GMT+0530 (India Standard Time),640.65,640.65,640.65,640.65,15,60
Tue Jul 18 2023 09:15:00 GMT+0530 (India Standard Time),1083.1,1083.1,941,941,31,60
Wed Jul 19 2023 12:15:00 GMT+0530 (India Standard Time),769,769,769,769,16,75
Wed Jul 19 2023 12:30:00 GMT+0530 (India Standard Time),769,769,769,769,15,90
Wed Jul 19 2023 13:30:00 GMT+0530 (India Standard Time),750,750,750,750,15,105
Wed Jul 19 2023 14:45:00 GMT+0530 (India Standard Time),750,750,727.45,727.45,45,135
Thu Jul 20 2023 09:30:00 GMT+0530 (India Standard Time),810,844.2,810,844.2,31,150
Thu Jul 20 2023 10:15:00 GMT+0530 (India Standard Time),844.2,844.2,844.2,844.2,15,165
Thu Jul 20 2023 12:00:00 GMT+0530 (India Standard Time),800,800,800,800,15,165
Thu Jul 20 2023 13:45:00 GMT+0530 (India Standard Time),960,960,960,960,45,165
Thu Jul 20 2023 14:00:00 GMT+0530 (India Standard Time),1070,1071.35,1070,1071.35,60,150
Thu Jul 20 2023 14:15:00 GMT+0530 (India Standard Time),1075,1075,1075,1075,45,195
Thu Jul 20 2023 14:45:00 GMT+0530 (India Standard Time),1075,1075,999.95,1000,345,210
Thu Jul 20 2023 15:15:00 GMT+0530 (India Standard Time),1032.7,1032.7,1032.7,1032.7,105,540
Fri Jul 21 2023 09:15:00 GMT+0530 (India Standard Time),1096,1135,1095.95,1135,106,570
Fri Jul 21 2023 09:30:00 GMT+0530 (India Standard Time),1135,1135,1135,1135,15,570
Fri Jul 21 2023 09:45:00 GMT+0530 (India Standard Time),1060,1060,1060,1060,30,540
Fri Jul 21 2023 11:15:00 GMT+0530 (India Standard Time),990,990,990,990,15,540
Fri Jul 21 2023 12:15:00 GMT+0530 (India Standard Time),990,1015,990,995,510,570
Fri Jul 21 2023 13:30:00 GMT+0530 (India Standard Time),1120,1120,1120,1120,15,585
Fri Jul 21 2023 14:15:00 GMT+0530 (India Standard Time),1044.8,1044.8,1044.8,1044.8,15,585
Fri Jul 21 2023 14:45:00 GMT+0530 (India Standard Time),1019.5,1019.5,1019.5,1019.5,15,600
Fri Jul 21 2023 15:00:00 GMT+0530 (India Standard Time),975,1047,975,1047,480,465
Mon Jul 24 2023 09:15:00 GMT+0530 (India Standard Time),1000,1000,1000,1000,31,465
Mon Jul 24 2023 11:00:00 GMT+0530 (India Standard Time),1050,1050,1050,1050,15,465
Mon Jul 24 2023 12:30:00 GMT+0530 (India Standard Time),1050,1050,900,900,225,360
Mon Jul 24 2023 13:30:00 GMT+0530 (India Standard Time),941,941,941,941,30,465
Tue Jul 25 2023 10:15:00 GMT+0530 (India Standard Time),964.1,964.1,901,901,151,510
Tue Jul 25 2023 10:30:00 GMT+0530 (India Standard Time),908.6,908.6,908.6,908.6,15,420
Tue Jul 25 2023 11:00:00 GMT+0530 (India Standard Time),872,872,872,872,105,405
Tue Jul 25 2023 11:30:00 GMT+0530 (India Standard Time),861,861,861,861,60,390
Tue Jul 25 2023 12:00:00 GMT+0530 (India Standard Time),850,850,850,850,225,390
Tue Jul 25 2023 13:30:00 GMT+0530 (India Standard Time),770.35,770.35,732.85,743,315,615
Tue Jul 25 2023 13:45:00 GMT+0530 (India Standard Time),743,743,743,743,30,675
Tue Jul 25 2023 14:00:00 GMT+0530 (India Standard Time),764.9,764.9,764,764,30,705
Tue Jul 25 2023 14:15:00 GMT+0530 (India Standard Time),795.3,800,795.2,800,165,705
Tue Jul 25 2023 14:30:00 GMT+0530 (India Standard Time),882.4,882.4,882.4,882.4,45,780
Tue Jul 25 2023 14:45:00 GMT+0530 (India Standard Time),882.4,882.4,882.4,882.4,360,825
Tue Jul 25 2023 15:00:00 GMT+0530 (India Standard Time),826.85,841.45,826.85,841.45,60,465
Tue Jul 25 2023 15:15:00 GMT+0530 (India Standard Time),877.6,877.6,862.05,862.05,30,480
Wed Jul 26 2023 09:30:00 GMT+0530 (India Standard Time),853.65,860.4,829,860.4,107,435
Wed Jul 26 2023 09:45:00 GMT+0530 (India Standard Time),839.4,839.4,839.4,839.4,15,435
Wed Jul 26 2023 10:15:00 GMT+0530 (India Standard Time),907.9,907.9,907.9,907.9,45,450
Wed Jul 26 2023 10:30:00 GMT+0530 (India Standard Time),912.1,912.1,912.1,912.1,30,480
Wed Jul 26 2023 11:00:00 GMT+0530 (India Standard Time),868.05,872.45,868.05,872.45,45,495
Wed Jul 26 2023 11:15:00 GMT+0530 (India Standard Time),850.55,850.55,850.55,850.55,15,540
Wed Jul 26 2023 14:00:00 GMT+0530 (India Standard Time),921.05,932.95,921.05,932.95,60,525
Wed Jul 26 2023 14:30:00 GMT+0530 (India Standard Time),933,933,933,933,165,525
Wed Jul 26 2023 14:45:00 GMT+0530 (India Standard Time),926,926,926,926,150,690
Wed Jul 26 2023 15:00:00 GMT+0530 (India Standard Time),926,934,926,934,45,810
Wed Jul 26 2023 15:15:00 GMT+0530 (India Standard Time),934,934.1,934,934.1,45,795
Thu Jul 27 2023 09:15:00 GMT+0530 (India Standard Time),1039.95,1039.95,966.35,1036.05,106,780
Thu Jul 27 2023 09:45:00 GMT+0530 (India Standard Time),1036.05,1036.05,1036.05,1036.05,15,780
Thu Jul 27 2023 10:15:00 GMT+0530 (India Standard Time),1070.75,1070.75,1070.75,1070.75,105,780
Thu Jul 27 2023 10:30:00 GMT+0530 (India Standard Time),1088.95,1088.95,1088.95,1088.95,90,825
Thu Jul 27 2023 10:45:00 GMT+0530 (India Standard Time),981.25,981.25,981.25,981.25,15,810
Thu Jul 27 2023 11:00:00 GMT+0530 (India Standard Time),960,960,946.7,946.7,60,870
Thu Jul 27 2023 11:30:00 GMT+0530 (India Standard Time),877.55,877.55,877.55,877.55,15,870
Thu Jul 27 2023 11:45:00 GMT+0530 (India Standard Time),860,860,860,860,45,870
Thu Jul 27 2023 12:00:00 GMT+0530 (India Standard Time),870,870,870,870,30,855
Thu Jul 27 2023 12:30:00 GMT+0530 (India Standard Time),838.4,850.3,821.55,821.55,645,1125
Thu Jul 27 2023 13:00:00 GMT+0530 (India Standard Time),848.3,848.3,848.3,848.3,15,1125
Thu Jul 27 2023 13:15:00 GMT+0530 (India Standard Time),882.05,882.05,836.85,836.85,120,1125
Thu Jul 27 2023 13:30:00 GMT+0530 (India Standard Time),780.05,805.75,780.05,805.75,375,1440
Thu Jul 27 2023 13:45:00 GMT+0530 (India Standard Time),829.8,835.65,829.8,835.65,45,1440
Thu Jul 27 2023 14:00:00 GMT+0530 (India Standard Time),808,835,808,835,270,1515
Thu Jul 27 2023 14:15:00 GMT+0530 (India Standard Time),840.2,840.2,805.75,805.75,30,1665
Thu Jul 27 2023 14:30:00 GMT+0530 (India Standard Time),805.75,805.75,750,750,270,1860
Thu Jul 27 2023 14:45:00 GMT+0530 (India Standard Time),750,765.4,716.9,716.9,135,1935
Thu Jul 27 2023 15:00:00 GMT+0530 (India Standard Time),764.2,764.2,755.7,755.7,75,2010
Thu Jul 27 2023 15:15:00 GMT+0530 (India Standard Time),791.4,791.4,791.4,791.4,45,2010
Fri Jul 28 2023 09:15:00 GMT+0530 (India Standard Time),693.65,693.65,569.7,569.7,2371,3660
Fri Jul 28 2023 09:30:00 GMT+0530 (India Standard Time),568.55,592.1,566.65,592.1,1380,4095
Fri Jul 28 2023 09:45:00 GMT+0530 (India Standard Time),572.75,605,566.65,587.4,735,4500
Fri Jul 28 2023 10:00:00 GMT+0530 (India Standard Time),584,584.15,553.2,569.95,495,4785
Fri Jul 28 2023 10:15:00 GMT+0530 (India Standard Time),560,579.35,540,553,885,4980
Fri Jul 28 2023 10:30:00 GMT+0530 (India Standard Time),570.9,578.7,570.9,578.7,210,4995
Fri Jul 28 2023 10:45:00 GMT+0530 (India Standard Time),568.8,597.5,565.15,574.45,405,5115
Fri Jul 28 2023 11:00:00 GMT+0530 (India Standard Time),574.45,591.2,556.25,556.25,855,5865
Fri Jul 28 2023 11:15:00 GMT+0530 (India Standard Time),551.2,554,545.8,550,630,6330
Fri Jul 28 2023 11:30:00 GMT+0530 (India Standard Time),550.35,573.45,540,540,150,6495
Fri Jul 28 2023 11:45:00 GMT+0530 (India Standard Time),541,552.45,538,552.45,555,7020
Fri Jul 28 2023 12:00:00 GMT+0530 (India Standard Time),551.8,556.35,528.6,556.35,2970,6765
Fri Jul 28 2023 12:15:00 GMT+0530 (India Standard Time),548.6,548.6,525,532.55,1425,7125
Fri Jul 28 2023 12:30:00 GMT+0530 (India Standard Time),550,552,540,545.9,255,7140
Fri Jul 28 2023 12:45:00 GMT+0530 (India Standard Time),536.5,536.8,518,518,285,7155
Fri Jul 28 2023 13:00:00 GMT+0530 (India Standard Time),518,546.05,518,536,240,7380
Fri Jul 28 2023 13:15:00 GMT+0530 (India Standard Time),532.9,532.95,500,500,450,7680
Fri Jul 28 2023 13:30:00 GMT+0530 (India Standard Time),500,514.45,478,478,990,7905
Fri Jul 28 2023 13:45:00 GMT+0530 (India Standard Time),483.4,496.55,480.05,496.55,780,8100
Fri Jul 28 2023 14:00:00 GMT+0530 (India Standard Time),489.7,500,489.7,499.65,225,8280
Fri Jul 28 2023 14:15:00 GMT+0530 (India Standard Time),509.95,520.05,509.95,520,1065,8355
Fri Jul 28 2023 14:30:00 GMT+0530 (India Standard Time),499.15,515.15,489,501.35,750,8265
Fri Jul 28 2023 14:45:00 GMT+0530 (India Standard Time),529.4,550,520,550,1170,7560
Fri Jul 28 2023 15:00:00 GMT+0530 (India Standard Time),559.5,582.35,555.95,574.8,1215,7800
Fri Jul 28 2023 15:15:00 GMT+0530 (India Standard Time),574,578.9,546.65,557.15,1320,8115
Mon Jul 31 2023 09:15:00 GMT+0530 (India Standard Time),565.55,565.55,515.45,541,3452,9960
Mon Jul 31 2023 09:30:00 GMT+0530 (India Standard Time),540,551.25,530.25,540.2,1860,11040
Mon Jul 31 2023 09:45:00 GMT+0530 (India Standard Time),529.5,556,529.5,554.9,1440,10410
Mon Jul 31 2023 10:00:00 GMT+0530 (India Standard Time),553.4,564.05,550,550,585,10200
Mon Jul 31 2023 10:15:00 GMT+0530 (India Standard Time),560,575,540,568.45,2070,8400
Mon Jul 31 2023 10:30:00 GMT+0530 (India Standard Time),567.95,570.3,550,570.3,480,8445
Mon Jul 31 2023 10:45:00 GMT+0530 (India Standard Time),565.9,586.5,564.2,583.1,2160,9540
Mon Jul 31 2023 11:00:00 GMT+0530 (India Standard Time),595.15,598,578.5,583.4,1980,11325
Mon Jul 31 2023 11:15:00 GMT+0530 (India Standard Time),576.1,594.35,565.95,591,6720,15990
Mon Jul 31 2023 11:30:00 GMT+0530 (India Standard Time),589.65,589.75,580,586.45,420,16440
Mon Jul 31 2023 11:45:00 GMT+0530 (India Standard Time),589.9,590.7,570.05,573.7,1275,17130
Mon Jul 31 2023 12:00:00 GMT+0530 (India Standard Time),570.95,587.6,568.15,587.6,525,17580
Mon Jul 31 2023 12:15:00 GMT+0530 (India Standard Time),576.35,587.45,555.6,555.6,735,17895
Mon Jul 31 2023 12:30:00 GMT+0530 (India Standard Time),561.2,561.2,550,556.2,570,18045
Mon Jul 31 2023 12:45:00 GMT+0530 (India Standard Time),552.25,580,552.25,575,945,18345
Mon Jul 31 2023 13:00:00 GMT+0530 (India Standard Time),576.55,592.05,571.75,592,1050,18570
Mon Jul 31 2023 13:15:00 GMT+0530 (India Standard Time),597.95,607.6,592.35,593.2,1260,18525
Mon Jul 31 2023 13:30:00 GMT+0530 (India Standard Time),602.4,611.95,594,594,1500,18345
Mon Jul 31 2023 13:45:00 GMT+0530 (India Standard Time),599.2,602,585,585,210,18480
Mon Jul 31 2023 14:00:00 GMT+0530 (India Standard Time),604,624.4,590,600,1230,18600
Mon Jul 31 2023 14:15:00 GMT+0530 (India Standard Time),606.45,621,606.35,606.35,1050,19065
Mon Jul 31 2023 14:30:00 GMT+0530 (India Standard Time),620,625,613.5,613.5,720,18555
Mon Jul 31 2023 14:45:00 GMT+0530 (India Standard Time),613.45,614.7,589.2,610.65,495,18630
Mon Jul 31 2023 15:00:00 GMT+0530 (India Standard Time),615.15,635.5,610.4,615.25,1020,18420
Mon Jul 31 2023 15:15:00 GMT+0530 (India Standard Time),616.1,623.75,610.55,621.45,3435,17805
Tue Aug 01 2023 09:15:00 GMT+0530 (India Standard Time),633,656.15,622.3,622.3,3917,17040
Tue Aug 01 2023 09:30:00 GMT+0530 (India Standard Time),626.55,634.3,604,615,10605,16605
Tue Aug 01 2023 09:45:00 GMT+0530 (India Standard Time),615,629.45,610.55,612,1005,17235
Tue Aug 01 2023 10:00:00 GMT+0530 (India Standard Time),613.05,613.05,613.05,613.05,30,17265
Tue Aug 01 2023 10:15:00 GMT+0530 (India Standard Time),612,616.5,586.45,600.6,450,17265
Tue Aug 01 2023 10:30:00 GMT+0530 (India Standard Time),596.55,600.6,560.9,566,2280,18180
Tue Aug 01 2023 10:45:00 GMT+0530 (India Standard Time),556.5,564.05,541.25,559.65,1575,18315
Tue Aug 01 2023 11:00:00 GMT+0530 (India Standard Time),553.7,555.8,543.85,549,2145,18360
Tue Aug 01 2023 11:15:00 GMT+0530 (India Standard Time),549,549.9,532.3,545,1125,18735
Tue Aug 01 2023 11:30:00 GMT+0530 (India Standard Time),542,554.05,535.9,554.05,1710,18750
Tue Aug 01 2023 11:45:00 GMT+0530 (India Standard Time),559.1,559.1,549.95,549.95,105,18825
Tue Aug 01 2023 12:00:00 GMT+0530 (India Standard Time),547.45,552.8,531,531,390,19080
Tue Aug 01 2023 12:15:00 GMT+0530 (India Standard Time),534.4,535,510,510,2160,19635
Tue Aug 01 2023 12:30:00 GMT+0530 (India Standard Time),510,518.1,482.45,493,1995,20880
Tue Aug 01 2023 12:45:00 GMT+0530 (India Standard Time),499,508.3,492,502,1335,21315
Tue Aug 01 2023 13:00:00 GMT+0530 (India Standard Time),503.95,513.65,498.65,507.35,720,21390
Tue Aug 01 2023 13:15:00 GMT+0530 (India Standard Time),521,531,515.25,530,645,21255
Tue Aug 01 2023 13:30:00 GMT+0530 (India Standard Time),534.55,557,534.4,536.2,1575,20280
Tue Aug 01 2023 13:45:00 GMT+0530 (India Standard Time),530,546.7,510.4,510.4,1620,19920
Tue Aug 01 2023 14:00:00 GMT+0530 (India Standard Time),506.5,515,498.65,515,780,20580
Tue Aug 01 2023 14:15:00 GMT+0530 (India Standard Time),503,541,503,541,690,20325
Tue Aug 01 2023 14:30:00 GMT+0530 (India Standard Time),541.35,559.85,529.35,549.75,1830,18855
Tue Aug 01 2023 14:45:00 GMT+0530 (India Standard Time),553.65,553.65,527.65,540,1365,18030
Tue Aug 01 2023 15:00:00 GMT+0530 (India Standard Time),544.2,544.3,520.9,520.9,705,18450
Tue Aug 01 2023 15:15:00 GMT+0530 (India Standard Time),528.7,543,526.1,534.2,2310,17775
Wed Aug 02 2023 09:15:00 GMT+0530 (India Standard Time),481.15,481.15,370,370,6962,20805
Wed Aug 02 2023 09:30:00 GMT+0530 (India Standard Time),370,387.45,370,374.3,6270,21345
Wed Aug 02 2023 09:45:00 GMT+0530 (India Standard Time),374.3,385,370.2,383.45,3540,22785
Wed Aug 02 2023 10:00:00 GMT+0530 (India Standard Time),383.1,386.1,365,365,2115,23790
Wed Aug 02 2023 10:15:00 GMT+0530 (India Standard Time),357.25,366.05,352.35,354.9,3975,23790
Wed Aug 02 2023 10:30:00 GMT+0530 (India Standard Time),351.7,351.7,329,335.15,6615,25575
Wed Aug 02 2023 10:45:00 GMT+0530 (India Standard Time),332,332,320,325,1830,26730
Wed Aug 02 2023 11:00:00 GMT+0530 (India Standard Time),325.3,325.3,289.95,301.5,8175,26190
Wed Aug 02 2023 11:15:00 GMT+0530 (India Standard Time),299.7,302,288,288,10050,27600
Wed Aug 02 2023 11:30:00 GMT+0530 (India Standard Time),288.6,292.95,277.75,292.95,3690,30495
Wed Aug 02 2023 11:45:00 GMT+0530 (India Standard Time),292.95,294.95,281,285,1950,31485
Wed Aug 02 2023 12:00:00 GMT+0530 (India Standard Time),282.9,293.85,279.45,293,2595,33510
Wed Aug 02 2023 12:15:00 GMT+0530 (India Standard Time),289.7,294.05,283.35,283.35,1095,34245
Wed Aug 02 2023 12:30:00 GMT+0530 (India Standard Time),292,303.3,285.55,299.45,2235,33630
Wed Aug 02 2023 12:45:00 GMT+0530 (India Standard Time),298.95,303.05,269.3,270.15,3105,33885
Wed Aug 02 2023 13:00:00 GMT+0530 (India Standard Time),274,278,258,258,1485,34410
Wed Aug 02 2023 13:15:00 GMT+0530 (India Standard Time),258,264.8,241.15,241.15,3420,34695
Wed Aug 02 2023 13:30:00 GMT+0530 (India Standard Time),241.15,250,224,224,6975,34290
Wed Aug 02 2023 13:45:00 GMT+0530 (India Standard Time),226.95,227.6,210.7,216.55,3960,36345
Wed Aug 02 2023 14:00:00 GMT+0530 (India Standard Time),215,225.2,210,210,3750,37620
Wed Aug 02 2023 14:15:00 GMT+0530 (India Standard Time),205.9,214.55,203,206.5,4410,37470
Wed Aug 02 2023 14:30:00 GMT+0530 (India Standard Time),212.35,225.65,209.2,220,3360,36375
Wed Aug 02 2023 14:45:00 GMT+0530 (India Standard Time),220,238.3,217,235.1,2340,36870
Wed Aug 02 2023 15:00:00 GMT+0530 (India Standard Time),239.95,257.1,229.85,253.6,4500,37875
Wed Aug 02 2023 15:15:00 GMT+0530 (India Standard Time),250.05,275.25,246.55,257.9,8880,39630
Thu Aug 03 2023 09:15:00 GMT+0530 (India Standard Time),237.4,267.7,193.55,244.55,7906,38775
Thu Aug 03 2023 09:30:00 GMT+0530 (India Standard Time),250,254.95,223.7,232.65,4485,39060
Thu Aug 03 2023 09:45:00 GMT+0530 (India Standard Time),227.95,249.6,224.2,224.2,3840,37680
Thu Aug 03 2023 10:00:00 GMT+0530 (India Standard Time),224.35,228.65,196,198.65,4530,37950
Thu Aug 03 2023 10:15:00 GMT+0530 (India Standard Time),200.4,207.55,186.4,200,6060,42300
Thu Aug 03 2023 10:30:00 GMT+0530 (India Standard Time),201.15,204.1,192.2,194,6480,45150
Thu Aug 03 2023 10:45:00 GMT+0530 (India Standard Time),194,203.4,189,200,1845,46110
Thu Aug 03 2023 11:00:00 GMT+0530 (India Standard Time),197.2,210.4,194.6,202.1,2685,46035
Thu Aug 03 2023 11:15:00 GMT+0530 (India Standard Time),203.45,203.45,190,200.15,4650,44700
Thu Aug 03 2023 11:30:00 GMT+0530 (India Standard Time),202,205.1,192.1,199.05,1935,45720
Thu Aug 03 2023 11:45:00 GMT+0530 (India Standard Time),199.2,199.2,183.8,195.5,2295,44865
Thu Aug 03 2023 12:00:00 GMT+0530 (India Standard Time),197.6,197.6,174.15,174.2,4380,46170
Thu Aug 03 2023 12:15:00 GMT+0530 (India Standard Time),174,175.65,149.9,151.95,11835,49470
Thu Aug 03 2023 12:30:00 GMT+0530 (India Standard Time),152,155,143.9,151.6,13500,54525
Thu Aug 03 2023 12:45:00 GMT+0530 (India Standard Time),148,149,131.65,139.05,13845,58710
Thu Aug 03 2023 13:00:00 GMT+0530 (India Standard Time),139,144.8,135,138,11250,62550
Thu Aug 03 2023 13:15:00 GMT+0530 (India Standard Time),139.85,144.5,130.05,136,10920,66975
Thu Aug 03 2023 13:30:00 GMT+0530 (India Standard Time),136,140,130,133,5775,69555
Thu Aug 03 2023 13:45:00 GMT+0530 (India Standard Time),133.15,133.15,116.45,118.7,10155,72480
Thu Aug 03 2023 14:00:00 GMT+0530 (India Standard Time),118.65,129.4,108.05,112.15,12030,75870
Thu Aug 03 2023 14:15:00 GMT+0530 (India Standard Time),111.05,128.3,111.05,124.75,6990,77340
Thu Aug 03 2023 14:30:00 GMT+0530 (India Standard Time),125.25,135.9,122,122,8970,77730
Thu Aug 03 2023 14:45:00 GMT+0530 (India Standard Time),124.8,126.85,110,122,11985,79665
Thu Aug 03 2023 15:00:00 GMT+0530 (India Standard Time),122.65,129.3,110.6,125,31425,83145
Thu Aug 03 2023 15:15:00 GMT+0530 (India Standard Time),126.85,128,119.75,119.75,12210,84345
Fri Aug 04 2023 09:15:00 GMT+0530 (India Standard Time),136,153.8,122.35,130.05,58351,100815
Fri Aug 04 2023 09:30:00 GMT+0530 (India Standard Time),129.9,130.55,100.55,100.55,40290,106635
Fri Aug 04 2023 09:45:00 GMT+0530 (India Standard Time),98.95,109.7,98,106.15,36045,117390
Fri Aug 04 2023 10:00:00 GMT+0530 (India Standard Time),106.15,120,102.85,120,25665,119715
Fri Aug 04 2023 10:15:00 GMT+0530 (India Standard Time),118.45,120.05,114,117.55,11325,121395
Fri Aug 04 2023 10:30:00 GMT+0530 (India Standard Time),115.7,133.75,110.65,133.75,17490,121530
Fri Aug 04 2023 10:45:00 GMT+0530 (India Standard Time),134.75,135.45,126.25,133.3,13905,121605
Fri Aug 04 2023 11:00:00 GMT+0530 (India Standard Time),134.95,172,134.25,164.4,35085,120615
Fri Aug 04 2023 11:15:00 GMT+0530 (India Standard Time),165.8,234.55,164.8,230.15,116925,132210
Fri Aug 04 2023 11:30:00 GMT+0530 (India Standard Time),232.2,239.6,214.25,226.1,36165,139350
Fri Aug 04 2023 11:45:00 GMT+0530 (India Standard Time),227.35,250,226.8,229.65,54105,134520
Fri Aug 04 2023 12:00:00 GMT+0530 (India Standard Time),231,235.2,212.3,235,27420,126750
Fri Aug 04 2023 12:15:00 GMT+0530 (India Standard Time),235.5,238.85,222.25,227.35,14505,130605
Fri Aug 04 2023 12:30:00 GMT+0530 (India Standard Time),223.3,223.3,179.45,205.4,57645,138360
